Rk,Player,salary,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
177,Brandon Goodwin,522738,PG,24,ATL,34,1,12.6,2.2,5.6,0.4,0.8,2.6,0.299,1.5,3,0.485,0.468,0.8,0.9,0.933,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1
240,Brandon Ingram,7265485,PF,22,NOP,62,62,33.9,8.2,17.7,0.463,2.4,6.2,0.391,5.8,11.5,0.501,0.531,5,5.9,0.851,0.8,5.3,6.1,4.2,1,0.6,3,2.9,23.8
275,Brandon Knight,15643750,SG,28,TOT,25,3,18.5,2.4,6.7,0.353,1.8,5.2,0.344,0.6,1.4,0.389,0.488,0.8,1.4,0.588,0.2,1.5,1.6,2.8,0.4,0.1,1.5,1.6,7.3
57,Brian Bowen,1416852,SF,21,IND,6,1,5.2,0.5,1.7,0.3,0,0.3,0,0.5,1.3,0.375,0.3,0,0,,0.2,1,1.2,0,0,0.2,0.2,0.5,1
300,Brook Lopez,12093023,C,31,MIL,68,67,26.7,4.3,9.9,0.435,1.5,4.8,0.314,2.8,5.1,0.549,0.511,1.9,2.2,0.836,0.9,3.7,4.6,1.5,0.7,2.4,1,2.4,12
70,Bruce Brown,1416852,PG,23,DET,58,43,28.2,3.4,7.7,0.443,0.6,1.7,0.344,2.8,6.1,0.47,0.48,1.5,2.1,0.739,1.1,3.7,4.7,4,1.1,0.5,1.7,2.8,8.9
83,Bruno Caboclo,1845301,C,24,TOT,30,0,8.1,1.3,3,0.427,0.2,1.1,0.182,1.1,1.9,0.571,0.461,0.3,0.3,0.889,0.8,1.2,2,0.4,0.5,0.6,0.4,1,3
155,Bruno Fernando,1400000,C,21,ATL,56,13,12.7,1.8,3.6,0.518,0.1,0.7,0.135,1.8,2.9,0.605,0.53,0.5,0.9,0.569,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3
158,Bryn Forbes,2875000,SG,26,SAS,63,62,25.1,3.8,9.2,0.417,2.3,6,0.388,1.5,3.2,0.47,0.544,1.2,1.4,0.833,0.2,1.8,2,1.7,0.5,0,0.9,1.8,11.2
218,Buddy Hield,4861208,SG,27,SAC,72,44,30.8,6.9,16.1,0.429,3.8,9.6,0.394,3.2,6.6,0.479,0.545,1.6,1.9,0.846,0.8,3.8,4.6,3,0.9,0.2,2.3,2.3,19.2
338,C.J. Miles,8333333,SF,32,WAS,10,0,16.1,1.9,5.9,0.322,1.1,3.5,0.314,0.8,2.4,0.333,0.415,1.5,2,0.75,0.4,0.8,1.2,1.2,1,0.4,0.4,1.4,6.4
314,Caleb Martin,898310,SF,24,CHO,18,1,17.6,2.1,4.7,0.44,1.1,2.1,0.541,0.9,2.6,0.362,0.56,0.9,1.2,0.81,0.6,1.6,2.1,1.3,0.7,0.4,0.8,1.8,6.2
256,Cameron Johnson,4033440,PF,23,PHO,57,9,22,3.1,7.1,0.435,1.9,4.8,0.39,1.2,2.3,0.526,0.565,0.8,1,0.807,0.9,2.4,3.3,1.2,0.6,0.4,0.6,1.5,8.8
397,Cameron Payne,1737145,SG,25,PHO,8,0,22.9,4.1,8.5,0.485,1.9,3.6,0.517,2.3,4.9,0.462,0.596,0.8,0.9,0.857,0.5,3.4,3.9,3,1,0.3,1.4,2.5,10.9
296,Caris LeVert,2625718,SG,25,BRK,45,31,29.6,6.9,16.3,0.425,1.8,4.9,0.364,5.1,11.4,0.451,0.48,3.1,4.4,0.711,1.1,3.1,4.2,4.4,1.2,0.2,2.6,1.8,18.7
16,Carmelo Anthony,1364204,PF,35,POR,58,58,32.8,5.8,13.5,0.43,1.5,3.9,0.385,4.3,9.6,0.448,0.485,2.3,2.8,0.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4
143,Carsen Edwards,1228026,SG,21,BOS,37,0,9.5,1.1,3.5,0.328,0.6,2.1,0.316,0.5,1.4,0.346,0.422,0.4,0.5,0.684,0.2,1.1,1.3,0.6,0.3,0.1,0.4,0.9,3.3
386,Cedi Osman,2907143,SF,24,CLE,65,65,29.4,4.1,9.4,0.437,1.9,4.9,0.383,2.2,4.4,0.497,0.538,1,1.4,0.67,0.6,3,3.6,2.4,0.8,0.2,1.4,2.5,11
235,Chandler Hutchison,2332320,SF,23,CHI,28,10,18.8,2.9,6.3,0.457,0.4,1.4,0.316,2.4,4.9,0.496,0.491,1.6,2.8,0.59,0.6,3.2,3.9,0.9,1,0.3,1,1.7,7.8
391,Chandler Parsons,25102511,PF,31,ATL,5,0,10.8,1,3.6,0.278,0.8,2.8,0.286,0.2,0.8,0.25,0.389,0,0,,0.2,1.2,1.4,0.6,0.8,0.2,0.6,0.6,2.8
129,Cheick Diallo,1678854,C,23,PHO,47,2,10.2,2,3,0.648,0,0.1,0.333,1.9,3,0.655,0.651,0.7,0.8,0.872,0.6,2.1,2.8,0.5,0.2,0.3,0.7,1.2,4.7
335,Chimezie Metu,1416852,C,22,SAS,18,0,5.8,1.3,2.3,0.571,0,0.1,0,1.3,2.2,0.6,0.571,0.6,0.7,0.769,0.7,1.2,1.8,0.6,0.2,0.3,0.6,0.4,3.2
56,Chris Boucher,1588231,C,27,TOR,62,0,13.2,2.3,4.8,0.472,0.6,1.9,0.322,1.7,2.9,0.569,0.535,1.5,1.9,0.784,1.7,2.7,4.5,0.4,0.4,1,0.5,1.8,6.6
105,Chris Clemons,563347,SG,22,HOU,33,0,8.8,1.7,4.3,0.401,1.1,3.2,0.346,0.6,1.1,0.571,0.532,0.3,0.3,0.909,0.1,0.8,0.9,0.8,0.3,0.2,0.6,0.8,4.9
396,Chris Paul,38506482,PG,34,OKC,70,70,31.5,6.2,12.7,0.489,1.6,4.3,0.365,4.6,8.3,0.554,0.552,3.6,4,0.907,0.4,4.6,5,6.7,1.6,0.2,2.3,2.3,17.6
323,CJ McCollum,27556959,SG,28,POR,70,70,36.5,8.7,19.4,0.451,2.8,7.3,0.379,6,12.1,0.494,0.522,2,2.6,0.757,0.7,3.6,4.2,4.4,0.8,0.6,1.8,2.6,22.2
87,Clint Capela,14896552,C,25,HOU,39,39,32.8,6.3,9.9,0.629,0,0,,6.3,9.9,0.629,0.629,1.4,2.7,0.529,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6,13.9
315,Cody Martin,1173310,SF,24,CHO,48,3,18.8,1.9,4.3,0.43,0.4,1.6,0.234,1.5,2.7,0.546,0.473,0.9,1.4,0.646,0.8,2.5,3.3,2,0.8,0.2,0.9,1.6,5
266,Cory Joseph,12000000,PG,28,SAC,72,26,24.4,2.4,5.7,0.415,0.8,2.2,0.352,1.6,3.5,0.455,0.483,0.8,1,0.857,0.6,2,2.6,3.5,0.7,0.3,1.1,1.8,6.4
291,Courtney Lee,12759670,SG,34,DAL,24,9,14.4,1.7,3.4,0.488,0.9,2,0.447,0.8,1.5,0.543,0.616,0.3,0.3,0.857,0.3,1,1.3,0.5,0.8,0.3,0.5,1.4,4.5
153,Cristiano Felício,8156500,C,27,CHI,22,0,17.5,1.5,2.5,0.63,0,0.1,0,1.5,2.4,0.654,0.63,0.8,1,0.783,2.5,2.1,4.6,0.7,0.5,0.1,0.8,1.5,3.9
20,D.J. Augustin,7250000,PG,32,ORL,57,13,24.9,3.2,8.1,0.399,1.2,3.5,0.348,2,4.6,0.438,0.475,2.8,3.2,0.89,0.4,1.8,2.1,4.6,0.6,0,1.5,1.3,10.5
262,Damian Jones,2305057,C,24,ATL,55,27,16.1,2.2,3.2,0.68,0,0.2,0.222,2.2,3.1,0.704,0.685,1.1,1.5,0.738,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,5.6
297,Damian Lillard,29802321,PG,29,POR,66,66,37.5,9.5,20.4,0.463,4.1,10.2,0.401,5.4,10.2,0.524,0.563,7,7.8,0.888,0.5,3.8,4.3,8,1.1,0.3,2.9,1.7,30
292,Damion Lee,842327,SG,27,GSW,49,36,29,4.3,10.4,0.417,1.7,4.9,0.356,2.6,5.6,0.471,0.5,2.2,2.6,0.873,0.7,4.2,4.9,2.7,1,0.1,1.4,2.4,12.7
136,Damyean Dotson,1618520,SG,25,NYK,48,0,17.4,2.5,6,0.414,1.2,3.4,0.362,1.3,2.6,0.48,0.516,0.5,0.7,0.667,0.2,1.7,1.9,1.2,0.5,0.1,0.4,0.9,6.7
166,Daniel Gafford,898310,C,21,CHI,43,7,14.2,2.2,3.1,0.701,0,0,,2.2,3.1,0.701,0.701,0.7,1.4,0.533,1.2,1.3,2.5,0.5,0.3,1.3,0.7,2.3,5.1
167,Danilo Gallinari,22615559,PF,31,OKC,62,62,29.6,5.8,13.2,0.438,2.9,7.1,0.405,2.9,6.1,0.476,0.547,4.3,4.8,0.893,0.5,4.6,5.2,1.9,0.7,0.1,1.2,1.2,18.7
185,Danny Green,14634146,SG,32,LAL,68,68,24.8,2.9,7,0.416,1.8,4.8,0.367,1.1,2.2,0.524,0.542,0.5,0.7,0.688,0.8,2.6,3.3,1.3,1.3,0.5,0.9,2,8
150,Dante Exum,9600000,SG,24,TOT,35,1,13.9,1.6,3.4,0.471,0.4,1.2,0.349,1.2,2.2,0.539,0.534,0.9,1.2,0.744,0.3,1.6,1.9,1.1,0.4,0.2,0.9,1.1,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Danuel House,3540000,SF,26,HOU,63,52,30.4,3.7,8.6,0.427,2,5.6,0.363,1.6,2.9,0.549,0.546,1.2,1.4,0.811,0.9,3.3,4.2,1.3,1.1,0.5,0.9,2.1,10.5
34,Darius Bazley,2284800,PF,19,OKC,61,9,18.5,2,5.2,0.394,0.8,2.3,0.348,1.2,2.9,0.432,0.472,0.7,1,0.694,0.5,3.5,4,0.7,0.4,0.7,0.7,0.9,5.6
169,Darius Garland,6400920,SG,20,CLE,59,59,30.9,4.7,11.8,0.401,1.8,5,0.355,3,6.8,0.434,0.476,1.1,1.2,0.875,0.5,1.4,1.9,3.9,0.7,0.1,2.6,1.6,12.3
375,David Nwaba,903111,SF,27,BRK,20,0,13.4,1.9,3.6,0.521,0.6,1.4,0.429,1.3,2.2,0.581,0.606,0.9,1.4,0.667,0.4,1.9,2.3,0.4,0.6,0.6,0.4,1.6,5.2
